Tree Depth	Mean Heap Size (bytes)	StdDev Heap Size (bytes)	Mean Time (s)	StdDev Time (s)	Mean GC Iters	StdDev GC Iters
16	57204736.000000	0.000000	0.418300	0.000526	267.000000	0.000000
17	60522496.000000	0.000000	0.558067	0.000629	224.000000	0.000000
18	67366912.000000	0.000000	0.743033	0.001402	188.000000	0.000000
19	91086848.000000	0.000000	0.928100	0.000790	164.000000	0.000000
20	127836160.000000	0.000000	1.238133	0.001024	155.000000	0.000000
21	207551419.000000	4184972.945060	1.646433	0.021838	146.000000	1.000000
22	363020288.000000	0.000000	2.312967	0.031996	145.000000	0.000000
23	649631061.000000	17338711.388846	3.685133	0.118691	147.000000	0.000000
24	1222572987.000000	21521680.038419	6.548200	0.056398	149.000000	0.000000
25	-1985789952.000000	0.000000	11.995167	0.115191	152.000000	0.000000
