kStretchTreeDepth	LongLivedTreeDepth	kArraySize	kMinTreeDepth	kMaxTreeDepth	GC Itertations	Heap Size	Time Elapsed
16	16	5000000	4	21	268	57204736	419
16	17	5000000	4	21	224	60522496	558
16	18	5000000	4	21	188	67366912	742
16	19	5000000	4	21	164	91086848	929
16	20	5000000	4	21	155	127836160	1240
16	21	5000000	4	21	146	203636736	1623
16	22	5000000	4	21	145	363020288	2327
16	23	5000000	4	21	147	639844352	3607
16	24	5000000	4	21	150	1185103872	6599
16	25	5000000	4	21	153	-1985789952	12020
16	16	5000000	4	21	268	57204736	418
16	17	5000000	4	21	224	60522496	559
16	18	5000000	4	21	188	67366912	745
16	19	5000000	4	21	164	91086848	928
16	20	5000000	4	21	155	127836160	1238
16	21	5000000	4	21	148	212025344	1697
16	22	5000000	4	21	146	363020288	2212
16	23	5000000	4	21	147	639844352	3603
16	24	5000000	4	21	150	1235435520	6527
16	25	5000000	4	21	153	-1985789952	12014
16	16	5000000	4	21	268	57204736	419
16	17	5000000	4	21	224	60522496	558
16	18	5000000	4	21	188	67366912	742
16	19	5000000	4	21	164	91086848	929
16	20	5000000	4	21	155	127836160	1237
16	21	5000000	4	21	146	203636736	1637
16	22	5000000	4	21	145	363020288	2322
16	23	5000000	4	21	147	639844352	3601
16	24	5000000	4	21	150	1185103872	6607
16	25	5000000	4	21	154	-1985789952	12001
16	16	5000000	4	21	268	57204736	418
16	17	5000000	4	21	224	60522496	558
16	18	5000000	4	21	188	67366912	742
16	19	5000000	4	21	164	91086848	928
16	20	5000000	4	21	155	127836160	1238
16	21	5000000	4	21	146	203636736	1636
16	22	5000000	4	21	145	363020288	2324
16	23	5000000	4	21	148	681787392	3903
16	24	5000000	4	21	150	1235435520	6602
16	25	5000000	4	21	153	-1985789952	12014
16	16	5000000	4	21	268	57204736	418
16	17	5000000	4	21	224	60522496	558
16	18	5000000	4	21	188	67366912	742
16	19	5000000	4	21	164	91086848	927
16	20	5000000	4	21	155	127836160	1238
16	21	5000000	4	21	146	203636736	1628
16	22	5000000	4	21	145	363020288	2327
16	23	5000000	4	21	147	690176000	3797
16	24	5000000	4	21	150	1185103872	6705
16	25	5000000	4	21	153	-1985789952	11983
16	16	5000000	4	21	268	57204736	418
16	17	5000000	4	21	224	60522496	557
16	18	5000000	4	21	188	67366912	743
16	19	5000000	4	21	164	91086848	929
16	20	5000000	4	21	155	127836160	1238
16	21	5000000	4	21	149	203636736	1689
16	22	5000000	4	21	145	363020288	2220
16	23	5000000	4	21	147	639844352	3603
16	24	5000000	4	21	150	1235435520	6524
16	25	5000000	4	21	152	-1985789952	11862
16	16	5000000	4	21	268	57204736	417
16	17	5000000	4	21	224	60522496	559
16	18	5000000	4	21	188	67366912	744
16	19	5000000	4	21	164	91086848	927
16	20	5000000	4	21	155	127836160	1239
16	21	5000000	4	21	147	203636736	1640
16	22	5000000	4	21	145	363020288	2324
16	23	5000000	4	21	147	639844352	3601
16	24	5000000	4	21	150	1235435520	6520
16	25	5000000	4	21	153	-1985789952	12003
16	16	5000000	4	21	268	57204736	418
16	17	5000000	4	21	224	60522496	558
16	18	5000000	4	21	188	67366912	743
16	19	5000000	4	21	164	91086848	929
16	20	5000000	4	21	155	127836160	1239
16	21	5000000	4	21	146	203636736	1628
16	22	5000000	4	21	145	363020288	2325
16	23	5000000	4	21	148	681787392	3898
16	24	5000000	4	21	150	1235435520	6536
16	25	5000000	4	21	153	-1985789952	12116
16	16	5000000	4	21	268	57204736	418
16	17	5000000	4	21	224	60522496	559
16	18	5000000	4	21	188	67366912	744
16	19	5000000	4	21	164	91086848	927
16	20	5000000	4	21	155	127836160	1237
16	21	5000000	4	21	147	212025344	1641
16	22	5000000	4	21	145	363020288	2321
16	23	5000000	4	21	147	639844352	3602
16	24	5000000	4	21	150	1235435520	6528
16	25	5000000	4	21	153	-1985789952	12122
16	16	5000000	4	21	268	57204736	419
16	17	5000000	4	21	224	60522496	558
16	18	5000000	4	21	188	67366912	742
16	19	5000000	4	21	164	91086848	928
16	20	5000000	4	21	155	127836160	1238
16	21	5000000	4	21	147	203636736	1641
16	22	5000000	4	21	145	363020288	2322
16	23	5000000	4	21	147	639844352	3835
16	24	5000000	4	21	150	1235435520	6522
16	25	5000000	4	21	153	-1985789952	12116
16	16	5000000	4	21	268	57204736	419
16	17	5000000	4	21	224	60522496	558
16	18	5000000	4	21	188	67366912	742
16	19	5000000	4	21	164	91086848	928
16	20	5000000	4	21	155	127836160	1237
16	21	5000000	4	21	146	212025344	1637
16	22	5000000	4	21	146	363020288	2318
16	23	5000000	4	21	147	639844352	3610
16	24	5000000	4	21	150	1235435520	6531
16	25	5000000	4	21	153	-1985789952	12014
