Tree Depth	Mean Heap Size (bytes)	StdDev Heap Size (bytes)	Mean Time (s)	StdDev Time (s)	Mean GC Iters	StdDev GC Iters
16	248655598.000000	21494415.536905	19.904267	0.422500	6348.000000	8.485281
17	260399650.000000	17686948.906368	17.138367	0.431500	4582.000000	6.244998
18	271304840.000000	19364586.723538	14.523000	0.157793	3003.000000	3.316625
19	298707626.000000	7606493.621423	13.107033	0.112690	1841.000000	3.741657
20	340650666.000000	16400151.759839	11.330800	0.148170	1087.000000	3.605551
21	407759530.000000	24631990.374278	9.497667	0.061175	601.000000	3.316625
22	557915613.000000	18080428.934403	9.379733	0.084946	400.000000	0.000000
23	873047654.000000	11128746.099749	9.965367	0.108949	292.000000	5.000000
24	1517292748.000000	21831879.455589	12.652667	0.186638	238.000000	1.000000
25	-1634027657.000000	34446674.757115	16.898700	0.305275	209.000000	5.000000
