kStretchTreeDepth	LongLivedTreeDepth	kArraySize	kMinTreeDepth	kMaxTreeDepth	GC Itertations	Heap Size	Time Elapsed
16	16	5000000	4	21	279	56655872	253
16	17	5000000	4	21	236	60387328	289
16	18	5000000	4	21	201	74149888	323
16	19	5000000	4	21	177	91086848	370
16	20	5000000	4	21	167	127836160	475
16	21	5000000	4	21	166	195248128	691
16	22	5000000	4	21	166	346243072	1166
16	23	5000000	4	21	172	656621568	2180
16	24	5000000	4	21	178	1201881088	3816
16	25	5000000	4	21	182	-1985789952	7367
16	16	5000000	4	21	279	56655872	265
16	17	5000000	4	21	236	60387328	289
16	18	5000000	4	21	201	74149888	326
16	19	5000000	4	21	177	91086848	369
16	20	5000000	4	21	167	127836160	474
16	21	5000000	4	21	165	195248128	691
16	22	5000000	4	21	166	346243072	1165
16	23	5000000	4	21	172	656621568	2189
16	24	5000000	4	21	178	1201881088	3817
16	25	5000000	4	21	182	-1985789952	7402
16	16	5000000	4	21	279	56655872	262
16	17	5000000	4	21	236	60387328	278
16	18	5000000	4	21	201	74149888	317
16	19	5000000	4	21	177	91086848	371
16	20	5000000	4	21	167	127836160	472
16	21	5000000	4	21	166	195248128	695
16	22	5000000	4	21	166	346243072	1188
16	23	5000000	4	21	172	656621568	2175
16	24	5000000	4	21	178	1201881088	3862
16	25	5000000	4	21	183	-1985789952	7459
16	16	5000000	4	21	279	56655872	253
16	17	5000000	4	21	236	60387328	286
16	18	5000000	4	21	201	74149888	329
16	19	5000000	4	21	177	91086848	384
16	20	5000000	4	21	167	127836160	477
16	21	5000000	4	21	166	195248128	698
16	22	5000000	4	21	166	346243072	1166
16	23	5000000	4	21	172	656621568	2181
16	24	5000000	4	21	177	1218658304	3999
16	25	5000000	4	21	183	-1985789952	7440
16	16	5000000	4	21	279	56655872	256
16	17	5000000	4	21	236	60387328	286
16	18	5000000	4	21	201	74149888	328
16	19	5000000	4	21	177	91086848	380
16	20	5000000	4	21	167	127836160	482
16	21	5000000	4	21	166	195248128	693
16	22	5000000	4	21	166	346243072	1187
16	23	5000000	4	21	172	656621568	2169
16	24	5000000	4	21	178	1210269696	3878
16	25	5000000	4	21	183	-1985789952	7556
16	16	5000000	4	21	279	56655872	261
16	17	5000000	4	21	237	60387328	283
16	18	5000000	4	21	201	74149888	318
16	19	5000000	4	21	177	91086848	389
16	20	5000000	4	21	167	127836160	472
16	21	5000000	4	21	165	195248128	689
16	22	5000000	4	21	166	346243072	1158
16	23	5000000	4	21	172	656621568	2188
16	24	5000000	4	21	177	1218658304	3981
16	25	5000000	4	21	183	-1985789952	7497
16	16	5000000	4	21	279	56655872	255
16	17	5000000	4	21	236	60387328	276
16	18	5000000	4	21	201	74149888	320
16	19	5000000	4	21	177	91086848	373
16	20	5000000	4	21	167	127836160	469
16	21	5000000	4	21	165	195248128	695
16	22	5000000	4	21	166	346243072	1156
16	23	5000000	4	21	172	656621568	2169
16	24	5000000	4	21	177	1218658304	3937
16	25	5000000	4	21	183	-2002567168	7465
16	16	5000000	4	21	279	56655872	251
16	17	5000000	4	21	236	60387328	278
16	18	5000000	4	21	201	74149888	319
16	19	5000000	4	21	177	91086848	371
16	20	5000000	4	21	167	127836160	470
16	21	5000000	4	21	165	195248128	688
