kStretchTreeDepth	kLongLivedTreeDepth	kArraySize	kMinTreeDepth	kMaxTreeDepth	GC Itertations	Heap Size	Time Elapsed
21	16	5000000	4	14	5286	195248128	11741
21	16	5000000	4	14	5282	195248128	11155
21	16	5000000	4	14	5275	195248128	11713
21	16	5000000	4	14	5260	195248128	11641
21	16	5000000	4	14	5303	195248128	10988
21	16	5000000	4	14	5296	195248128	11926
21	16	5000000	4	14	5288	195248128	11896
21	16	5000000	4	14	5277	195248128	11576
21	16	5000000	4	14	5285	195248128	11863
21	16	5000000	4	14	5260	195248128	11324
21	16	5000000	4	14	5258	195248128	11572
21	16	5000000	4	14	5258	195248128	12508
21	16	5000000	4	14	5262	195248128	11294
21	16	5000000	4	14	5262	195248128	11194
21	16	5000000	4	14	5253	195248128	11593
21	16	5000000	4	14	5280	195248128	11396
21	16	5000000	4	14	5286	195248128	11619
21	16	5000000	4	14	5259	195248128	11542
21	16	5000000	4	14	5261	195248128	11766
21	16	5000000	4	14	5250	195248128	12061
21	16	5000000	4	14	5259	195248128	11707
21	16	5000000	4	14	5272	195248128	11253
21	16	5000000	4	14	5260	195248128	11798
21	16	5000000	4	14	5258	195248128	12345
21	16	5000000	4	14	5296	195248128	11765
21	16	5000000	4	14	5257	195248128	11915
21	16	5000000	4	14	5254	195248128	11695
21	16	5000000	4	14	5256	195248128	11817
21	16	5000000	4	14	5258	195248128	11961
21	16	5000000	4	14	5278	195248128	11493
21	17	5000000	4	14	3728	203636736	15137
21	17	5000000	4	14	3728	203636736	14563
21	17	5000000	4	14	3702	195248128	15701
21	17	5000000	4	14	3702	203636736	14607
21	17	5000000	4	14	3729	203636736	15498
21	17	5000000	4	14	3703	195248128	15880
21	17	5000000	4	14	3705	203636736	13900
21	17	5000000	4	14	3721	203636736	13857
21	17	5000000	4	14	3704	203636736	14221
21	17	5000000	4	14	3721	203636736	13935
21	17	5000000	4	14	3722	203636736	13807
21	17	5000000	4	14	3703	195248128	14973
21	17	5000000	4	14	3704	195248128	15255
21	17	5000000	4	14	3721	203636736	14318
21	17	5000000	4	14	3703	195248128	14558
21	17	5000000	4	14	3722	195248128	14956
21	17	5000000	4	14	3771	195248128	14630
21	17	5000000	4	14	3722	195248128	14535
21	17	5000000	4	14	3721	203636736	14189
21	17	5000000	4	14	3734	203636736	14369
21	17	5000000	4	14	3703	195248128	14704
21	17	5000000	4	14	3704	195248128	14581
21	17	5000000	4	14	3703	195248128	15246
21	17	5000000	4	14	3734	203636736	14226
21	17	5000000	4	14	3703	195248128	14559
21	17	5000000	4	14	3703	195248128	15016
21	17	5000000	4	14	3720	195248128	14681
21	17	5000000	4	14	3721	195248128	14875
21	17	5000000	4	14	3729	203636736	14945
21	17	5000000	4	14	3703	203636736	14329
21	18	5000000	4	14	2373	212025344	16643
21	18	5000000	4	14	2374	203636736	17474
21	18	5000000	4	14	2374	203636736	17811
21	18	5000000	4	14	2375	203636736	17794
21	18	5000000	4	14	2375	203636736	18125
21	18	5000000	4	14	2374	203636736	18112
21	18	5000000	4	14	2375	203636736	18110
21	18	5000000	4	14	2373	212025344	16700
21	18	5000000	4	14	2373	212025344	16847
21	18	5000000	4	14	2388	203636736	16649
21	18	5000000	4	14	2375	203636736	18210
21	18	5000000	4	14	2373	212025344	17201
21	18	5000000	4	14	2374	203636736	17992
21	18	5000000	4	14	2375	203636736	18192
21	18	5000000	4	14	2388	203636736	16754
21	18	5000000	4	14	2375	203636736	18080
21	18	5000000	4	14	2373	212025344	16952
21	18	5000000	4	14	2374	212025344	17102
21	18	5000000	4	14	2375	203636736	18106
21	18	5000000	4	14	2373	212025344	16586
21	18	5000000	4	14	2373	212025344	16797
21	18	5000000	4	14	2374	212025344	17212
21	18	5000000	4	14	2373	212025344	17021
21	18	5000000	4	14	2375	203636736	17789
21	18	5000000	4	14	2374	203636736	18204
21	18	5000000	4	14	2374	203636736	17953
21	18	5000000	4	14	2374	203636736	17850
21	18	5000000	4	14	2373	212025344	17202
21	18	5000000	4	14	2374	203636736	18155
21	18	5000000	4	14	2375	203636736	18189
21	19	5000000	4	14	1418	203636736	19174
21	19	5000000	4	14	1412	212025344	18943
21	19	5000000	4	14	1408	220413952	20264
21	19	5000000	4	14	1418	203636736	19502
21	19	5000000	4	14	1407	220413952	20374
21	19	5000000	4	14	1410	212025344	19210
21	19	5000000	4	14	1407	220413952	20521
21	19	5000000	4	14	1408	220413952	20028
21	19	5000000	4	14	1426	203636736	19518
21	19	5000000	4	14	1410	212025344	19315
21	19	5000000	4	14	1408	220413952	20391
21	19	5000000	4	14	1410	212025344	19333
21	19	5000000	4	14	1426	203636736	19018
21	19	5000000	4	14	1432	203636736	18553
21	19	5000000	4	14	1410	212025344	19144
21	19	5000000	4	14	1418	203636736	19282
21	19	5000000	4	14	1418	203636736	19199
21	19	5000000	4	14	1410	212025344	19495
21	19	5000000	4	14	1410	212025344	18976
21	19	5000000	4	14	1410	212025344	18914
21	19	5000000	4	14	1418	203636736	19155
21	19	5000000	4	14	1468	195248128	18538
21	19	5000000	4	14	1410	212025344	19180
21	19	5000000	4	14	1410	212025344	19140
21	19	5000000	4	14	1418	203636736	19580
21	19	5000000	4	14	1418	203636736	19327
21	19	5000000	4	14	1410	212025344	19047
21	19	5000000	4	14	1426	203636736	18909
21	19	5000000	4	14	1410	212025344	18540
21	19	5000000	4	14	1407	220413952	19283
