kStretchTreeDepth	kLongLivedTreeDepth	kArraySize	kMinTreeDepth	kMaxTreeDepth	GC Itertations	Heap Size	Time Elapsed
21	16	5000000	4	14	5287	195248128	13681
21	16	5000000	4	14	5286	195248128	13622
21	16	5000000	4	14	5289	195248128	13662
21	16	5000000	4	14	5287	195248128	13703
21	16	5000000	4	14	5285	195248128	13665
21	16	5000000	4	14	5285	195248128	13610
21	16	5000000	4	14	5284	195248128	13668
21	16	5000000	4	14	5284	195248128	13748
21	16	5000000	4	14	5291	195248128	13713
21	16	5000000	4	14	5292	195248128	13735
21	16	5000000	4	14	5283	195248128	13658
21	16	5000000	4	14	5286	195248128	13602
21	16	5000000	4	14	5289	195248128	13746
21	16	5000000	4	14	5284	195248128	13643
21	16	5000000	4	14	5284	195248128	13756
21	16	5000000	4	14	5284	195248128	13659
21	16	5000000	4	14	5284	195248128	13693
21	16	5000000	4	14	5285	195248128	13651
21	16	5000000	4	14	5285	195248128	13691
21	16	5000000	4	14	5289	195248128	13556
21	16	5000000	4	14	5286	195248128	13656
21	16	5000000	4	14	5283	195248128	13671
21	16	5000000	4	14	5285	195248128	13650
21	16	5000000	4	14	5285	195248128	13613
21	16	5000000	4	14	5286	195248128	13608
21	16	5000000	4	14	5287	195248128	13654
21	16	5000000	4	14	5289	195248128	13680
21	16	5000000	4	14	5286	195248128	13590
21	16	5000000	4	14	5286	195248128	13497
21	16	5000000	4	14	5286	195248128	13685
21	17	5000000	4	14	3730	203636736	10993
21	17	5000000	4	14	3732	203636736	10981
21	17	5000000	4	14	3732	203636736	11067
21	17	5000000	4	14	3731	203636736	11061
21	17	5000000	4	14	3732	203636736	10957
21	17	5000000	4	14	3732	203636736	11019
21	17	5000000	4	14	3731	203636736	11011
21	17	5000000	4	14	3732	203636736	10915
21	17	5000000	4	14	3732	203636736	10960
21	17	5000000	4	14	3732	203636736	10892
21	17	5000000	4	14	3732	203636736	11065
21	17	5000000	4	14	3732	203636736	10991
21	17	5000000	4	14	3731	203636736	10913
21	17	5000000	4	14	3732	203636736	11110
21	17	5000000	4	14	3731	203636736	10948
21	17	5000000	4	14	3731	203636736	11007
21	17	5000000	4	14	3731	203636736	11082
21	17	5000000	4	14	3732	203636736	10950
21	17	5000000	4	14	3731	203636736	10938
21	17	5000000	4	14	3731	203636736	11108
21	17	5000000	4	14	3731	203636736	11067
