gc_free_space_divisor	kStretchTreeDepth	LongLivedTreeDepth	kArraySize	kMinTreeDepth	kMaxTreeDepth	GC Itertations	Heap Size	Time Elapsed
1	21	16	500000	4	16	517	210235392	3041
2	21	16	500000	4	16	662	219234304	4560
3	21	16	500000	4	16	1459	161669120	5384
4	21	16	500000	4	16	2518	163024896	6361
5	21	16	500000	4	16	3194	147693568	7406
1	21	16	500000	4	16	518	210235392	3055
2	21	16	500000	4	16	700	219234304	4408
3	21	16	500000	4	16	1457	161669120	5388
4	21	16	500000	4	16	2515	163024896	6346
5	21	16	500000	4	16	3199	147693568	7409
1	21	16	500000	4	16	516	210235392	3050
2	21	16	500000	4	16	704	202457088	4366
3	21	16	500000	4	16	1457	161669120	5376
4	21	16	500000	4	16	2517	163024896	6363
5	21	16	500000	4	16	3193	147693568	7416
1	21	16	500000	4	16	518	210235392	3062
2	21	16	500000	4	16	676	219234304	4499
3	21	16	500000	4	16	1457	161669120	5377
4	21	16	500000	4	16	2508	163024896	6342
5	21	16	500000	4	16	3202	147693568	7419
1	21	16	500000	4	16	518	210235392	3056
2	21	16	500000	4	16	699	219234304	4407
3	21	16	500000	4	16	1454	161669120	5390
4	21	16	500000	4	16	2517	163024896	6348
5	21	16	500000	4	16	3217	147693568	7400
