gc_free_space_divisor	kStretchTreeDepth	LongLivedTreeDepth	kArraySize	kMinTreeDepth	kMaxTreeDepth	GC Itertations	Heap Size	Time Elapsed
1	21	16	500000	4	16	508	227012608	3898
2	21	16	500000	4	16	832	152125440	4175
3	21	16	500000	4	16	1410	170057728	5789
4	21	16	500000	4	16	2480	146247680	7420
5	21	16	500000	4	16	3182	156082176	9260
1	21	16	500000	4	16	510	227012608	3917
2	21	16	500000	4	16	832	152125440	4173
3	21	16	500000	4	16	1409	170057728	5774
4	21	16	500000	4	16	2474	146247680	7465
5	21	16	500000	4	16	3181	156082176	9204
1	21	16	500000	4	16	509	227012608	3911
2	21	16	500000	4	16	830	152125440	4196
3	21	16	500000	4	16	1411	170057728	5806
4	21	16	500000	4	16	2486	146247680	7452
5	21	16	500000	4	16	3179	156082176	9197
1	21	16	500000	4	16	508	227012608	3899
2	21	16	500000	4	16	828	152125440	4151
3	21	16	500000	4	16	1409	170057728	5752
4	21	16	500000	4	16	2480	146247680	7451
5	21	16	500000	4	16	3195	156082176	9270
1	21	16	500000	4	16	509	227012608	3905
2	21	16	500000	4	16	827	152125440	4165
3	21	16	500000	4	16	1412	170057728	5797
4	21	16	500000	4	16	2486	146247680	7416
5	21	16	500000	4	16	3175	156082176	9255
