Heap Size (bytes)	Writes (pages)	Mean mprotect (us)	StDev mprotect (us)	Mean mwritten (us)	StDev mwritten (us)
4096	0	0.000000	0.000000	0.000000	0.000000
8192	0	0.000000	0.000000	0.000000	0.000000
16384	0	0.000000	0.000000	1.000000	0.000000
32768	0	0.000000	0.000000	1.000000	1.000000
65536	0	0.000000	0.000000	2.000000	1.000000
131072	0	0.000000	0.000000	5.000000	1.000000
262144	0	0.000000	0.000000	9.000000	1.732051
524288	0	0.000000	0.000000	19.000000	3.000000
1048576	0	0.000000	0.000000	38.000000	5.567764
2097152	0	0.000000	0.000000	77.000000	11.489125
4194304	0	0.000000	0.000000	155.000000	37.336309
8388608	0	0.000000	0.000000	312.000000	91.771455
16777216	0	0.000000	0.000000	629.000000	236.307004
33554432	0	0.000000	0.000000	1286.000000	722.407087
67108864	0	0.000000	0.000000	2653.000000	2385.259315
134217728	0	0.000000	0.000000	5704.000000	8686.318207
268435456	0	0.000000	0.000000	13028.000000	32638.519896
536870912	0	0.000000	1.000000	32763.000000	128547.307315
1073741824	0	0.000000	1.000000	39699.000000	84.693565
