Heap Size (bytes)	Writes (pages)	Mean mprotect (us)	StDev mprotect (us)	Mean mwritewatch (us)	StDev mwritewatch (us)
2097152	512	2137.000000	14.212670	305.000000	12.649111
4194304	512	2244.000000	26.381812	560.000000	128.541822
8388608	512	2329.000000	32.233523	760.000000	222.270106
16777216	512	2482.000000	29.137605	1191.000000	425.859132
33554432	512	2563.000000	33.955854	1990.000000	840.997027
67108864	512	2624.000000	41.303753	3586.000000	2459.295021
134217728	512	2673.000000	60.241182	6961.000000	8687.943197
268435456	512	2721.000000	109.466890	15169.000000	32232.617238
536870912	512	2774.000000	220.583318	36987.000000	128490.050549
1073741824	512	2844.000000	369.199133	48330.000000	13322.441631
