Benchmark	Mean Total (s)	StdDev Total (s)	Mean User (ms)	StdDev User (ms)	Mean System (ms)	StdDev System (ms)
3d-cube.js	0.630000	0.000000	0.601667	0.009690	0.022333	0.010546
3d-morph.js	1.128333	0.009339	1.118667	0.009568	0.007000	0.008226
3d-raytrace.js	0.710000	0.000000	0.662667	0.018785	0.042333	0.018382
access-binary-trees.js	0.760000	0.000000	0.672667	0.026196	0.080333	0.027262
access-fannkuch.js	1.521333	0.003399	1.483667	0.019914	0.036000	0.019933
access-nbody.js	0.350000	0.000000	0.346000	0.006110	0.000667	0.002494
access-nsieve.js	3.489667	0.021982	3.469000	0.027246	0.016667	0.010750
bitops-3bit-bits-in-byte.js	0.920000	0.000000	0.843333	0.026625	0.070333	0.026518
bitops-bits-in-byte.js	0.930000	0.000000	0.880333	0.016017	0.040667	0.016519
bitops-bitwise-and.js	0.290333	0.001795	0.290333	0.001795	0.000000	0.000000
bitops-nsieve-bits.js	0.900000	0.000000	0.891333	0.010562	0.007333	0.010934
controlflow-recursive.js	1.420333	0.001795	1.288333	0.025309	0.129333	0.024757
crypto-aes.js	0.690000	0.000000	0.656333	0.017792	0.025000	0.017654
crypto-md5.js	1.090333	0.001795	1.009333	0.029769	0.077667	0.030842
crypto-sha1.js	1.039667	0.001795	0.962667	0.019137	0.073667	0.019746
date-format-tofte.js	0.480000	0.000000	0.460333	0.008750	0.015333	0.010873
date-format-xparb.js	0.330000	0.000000	0.306000	0.016452	0.024000	0.015620
math-cordic.js	0.970000	0.000000	0.919333	0.021124	0.042667	0.022050
math-partial-sums.js	0.170000	0.000000	0.169333	0.002494	0.000000	0.000000
math-spectral-norm.js	0.890000	0.000000	0.823667	0.024012	0.060667	0.023514
regexp-dna.js	0.450000	0.000000	0.446333	0.006574	0.001333	0.003399
string-base64.js	6.309667	0.021523	6.059000	0.038674	0.247000	0.034366
string-fasta.js	0.810000	0.000000	0.766333	0.018526	0.040333	0.018163
string-tagcloud.js	0.090000	0.000000	0.083333	0.006498	0.001333	0.003399
string-unpack-code.js	1.143000	0.004583	1.061000	0.020551	0.077333	0.019310
string-validate-input.js	0.440000	0.000000	0.406333	0.014256	0.029333	0.014360
