3d-cube.js	0.63	0.60	0.02
3d-morph.js	1.12	1.11	0.00
3d-raytrace.js	0.71	0.66	0.05
access-binary-trees.js	0.76	0.63	0.12
access-fannkuch.js	1.52	1.48	0.03
access-nbody.js	0.35	0.34	0.00
access-nsieve.js	3.47	3.46	0.01
bitops-3bit-bits-in-byte.js	0.92	0.85	0.07
bitops-bits-in-byte.js	0.93	0.85	0.07
bitops-bitwise-and.js	0.29	0.29	0.00
bitops-nsieve-bits.js	0.90	0.88	0.02
controlflow-recursive.js	1.42	1.20	0.22
crypto-aes.js	0.69	0.65	0.03
crypto-md5.js	1.09	1.06	0.03
crypto-sha1.js	1.04	0.97	0.07
date-format-tofte.js	0.48	0.45	0.03
math-cordic.js	0.97	0.90	0.07
date-format-xparb.js	0.33	0.31	0.02
math-partial-sums.js	0.17	0.17	0.00
math-spectral-norm.js	0.89	0.78	0.11
regexp-dna.js	0.45	0.45	0.00
string-base64.js	6.28	6.05	0.22
string-fasta.js	0.81	0.76	0.04
string-tagcloud.js	0.09	0.08	0.00
string-unpack-code.js	1.14	1.07	0.07
string-validate-input.js	0.44	0.42	0.01
3d-cube.js	0.63	0.62	0.00
3d-morph.js	1.14	1.13	0.00
3d-raytrace.js	0.71	0.63	0.07
access-binary-trees.js	0.76	0.67	0.08
access-fannkuch.js	1.52	1.50	0.02
access-nbody.js	0.35	0.33	0.02
access-nsieve.js	3.50	3.47	0.03
bitops-3bit-bits-in-byte.js	0.92	0.85	0.06
bitops-bits-in-byte.js	0.93	0.85	0.07
bitops-bitwise-and.js	0.29	0.29	0.00
bitops-nsieve-bits.js	0.90	0.90	0.00
controlflow-recursive.js	1.42	1.30	0.12
crypto-aes.js	0.69	0.66	0.02
crypto-md5.js	1.09	1.00	0.09
crypto-sha1.js	1.04	1.00	0.04
date-format-tofte.js	0.48	0.45	0.03
math-cordic.js	0.97	0.92	0.04
date-format-xparb.js	0.33	0.33	0.00
math-partial-sums.js	0.17	0.17	0.00
math-spectral-norm.js	0.89	0.82	0.07
regexp-dna.js	0.45	0.45	0.00
string-base64.js	6.33	6.10	0.22
string-fasta.js	0.81	0.76	0.05
string-tagcloud.js	0.09	0.09	0.00
string-unpack-code.js	1.14	1.01	0.14
string-validate-input.js	0.44	0.41	0.03
3d-cube.js	0.63	0.59	0.03
3d-morph.js	1.12	1.11	0.00
3d-raytrace.js	0.71	0.64	0.07
access-binary-trees.js	0.76	0.67	0.08
access-fannkuch.js	1.53	1.49	0.03
access-nbody.js	0.35	0.35	0.00
access-nsieve.js	3.47	3.47	0.00
bitops-3bit-bits-in-byte.js	0.92	0.84	0.07
