Benchmark	Mean Total (s)	StdDev Total (s)	Mean User (ms)	StdDev User (ms)	Mean System (ms)	StdDev System (ms)
3d-cube.js	0.490000	0.000000	0.442333	0.018382	0.041000	0.019209
3d-morph.js	1.024333	0.004955	1.007333	0.012365	0.011333	0.011757
3d-raytrace.js	0.486000	0.004899	0.371333	0.023055	0.109667	0.024288
access-binary-trees.js	0.390333	0.001795	0.181000	0.027368	0.205000	0.027049
access-fannkuch.js	1.340000	0.000000	1.265667	0.018562	0.072667	0.018962
access-nbody.js	0.300333	0.001795	0.293333	0.007888	0.006667	0.007888
access-nsieve.js	3.391667	0.016750	3.351667	0.025177	0.034333	0.017065
bitops-3bit-bits-in-byte.js	0.560000	0.000000	0.369333	0.029993	0.185000	0.030304
bitops-bits-in-byte.js	0.640000	0.000000	0.505000	0.026045	0.127000	0.023965
bitops-bitwise-and.js	0.283000	0.004583	0.282667	0.004422	0.000000	0.000000
bitops-nsieve-bits.js	0.880000	0.000000	0.855000	0.014549	0.020667	0.015261
controlflow-recursive.js	0.665667	0.004955	0.309333	0.030977	0.350333	0.029607
crypto-aes.js	0.517333	0.004422	0.445000	0.025917	0.065333	0.025914
crypto-md5.js	0.492000	0.004000	0.292667	0.029090	0.195667	0.029061
crypto-sha1.js	0.478333	0.003727	0.288333	0.026342	0.182667	0.026825
date-format-tofte.js	0.320000	0.000000	0.266333	0.019746	0.052000	0.018868
date-format-xparb.js	0.160000	0.000000	0.092333	0.020766	0.060333	0.019232
math-cordic.js	0.712667	0.004422	0.602333	0.023336	0.107667	0.022757
math-partial-sums.js	0.170000	0.000000	0.169667	0.001795	0.000000	0.000000
math-spectral-norm.js	0.520000	0.000000	0.331333	0.032836	0.183333	0.033099
regexp-dna.js	0.450000	0.000000	0.436667	0.010435	0.005667	0.008825
string-base64.js	3.818667	0.015861	3.030000	0.064704	0.785333	0.057720
string-fasta.js	0.513000	0.004583	0.385000	0.023345	0.124333	0.023192
string-tagcloud.js	0.070000	0.000000	0.065333	0.006700	0.004667	0.006700
string-unpack-code.js	0.530333	0.001795	0.310333	0.028808	0.217000	0.027586
string-validate-input.js	0.280000	0.000000	0.189667	0.019232	0.082667	0.021281
