3d-cube.js	0.61	0.56	0.04
3d-morph.js	1.19	1.17	0.01
3d-raytrace.js	0.66	0.61	0.05
access-binary-trees.js	0.72	0.58	0.14
access-fannkuch.js	1.47	1.39	0.07
access-nbody.js	0.34	0.33	0.01
access-nsieve.js	3.81	3.77	0.03
bitops-3bit-bits-in-byte.js	0.94	0.87	0.07
bitops-bits-in-byte.js	0.95	0.86	0.08
bitops-bitwise-and.js	0.29	0.29	0.00
bitops-nsieve-bits.js	0.85	0.83	0.01
controlflow-recursive.js	1.40	1.02	0.37
crypto-aes.js	0.63	0.60	0.03
crypto-md5.js	0.87	0.72	0.14
crypto-sha1.js	0.82	0.66	0.16
date-format-tofte.js	0.44	0.42	0.01
math-cordic.js	0.95	0.86	0.08
date-format-xparb.js	0.30	0.27	0.03
math-partial-sums.js	0.17	0.17	0.00
math-spectral-norm.js	0.90	0.80	0.09
regexp-dna.js	0.45	0.44	0.00
string-base64.js	5.76	5.24	0.51
string-fasta.js	0.79	0.71	0.07
string-tagcloud.js	0.09	0.07	0.01
string-unpack-code.js	0.97	0.80	0.16
string-validate-input.js	0.46	0.36	0.10
3d-cube.js	0.61	0.55	0.05
3d-morph.js	1.20	1.18	0.02
3d-raytrace.js	0.66	0.55	0.11
access-binary-trees.js	0.72	0.60	0.11
access-fannkuch.js	1.47	1.43	0.03
access-nbody.js	0.34	0.34	0.00
access-nsieve.js	3.78	3.76	0.01
bitops-3bit-bits-in-byte.js	0.94	0.77	0.17
bitops-bits-in-byte.js	0.95	0.85	0.10
bitops-bitwise-and.js	0.29	0.29	0.00
bitops-nsieve-bits.js	0.85	0.84	0.00
controlflow-recursive.js	1.57	1.02	0.55
crypto-aes.js	0.63	0.55	0.07
crypto-md5.js	0.89	0.76	0.13
crypto-sha1.js	0.82	0.69	0.13
date-format-tofte.js	0.44	0.37	0.06
math-cordic.js	0.94	0.87	0.07
date-format-xparb.js	0.30	0.27	0.03
math-partial-sums.js	0.17	0.16	0.00
math-spectral-norm.js	0.87	0.75	0.12
regexp-dna.js	0.45	0.44	0.00
string-base64.js	5.96	5.11	0.85
string-fasta.js	0.80	0.70	0.09
string-tagcloud.js	0.09	0.09	0.00
string-unpack-code.js	0.94	0.79	0.15
string-validate-input.js	0.45	0.38	0.07
3d-cube.js	0.61	0.57	0.03
3d-morph.js	1.19	1.19	0.00
3d-raytrace.js	0.66	0.57	0.09
access-binary-trees.js	0.75	0.55	0.20
access-fannkuch.js	1.47	1.44	0.03
access-nbody.js	0.34	0.34	0.00
access-nsieve.js	3.81	3.77	0.03
bitops-3bit-bits-in-byte.js	0.93	0.78	0.15
bitops-bits-in-byte.js	0.95	0.85	0.09
bitops-bitwise-and.js	0.29	0.29	0.00
bitops-nsieve-bits.js	0.85	0.84	0.00
controlflow-recursive.js	1.48	0.99	0.49
crypto-aes.js	0.63	0.59	0.03
crypto-md5.js	0.84	0.73	0.11
crypto-sha1.js	0.82	0.68	0.14
date-format-tofte.js	0.44	0.40	0.03
math-cordic.js	0.95	0.87	0.07
date-format-xparb.js	0.30	0.29	0.01
math-partial-sums.js	0.17	0.17	0.00
math-spectral-norm.js	0.89	0.76	0.14
regexp-dna.js	0.45	0.42	0.03
string-base64.js	5.94	5.30	0.63
string-fasta.js	0.80	0.63	0.16
string-tagcloud.js	0.09	0.08	0.00
string-unpack-code.js	0.96	0.78	0.18
string-validate-input.js	0.46	0.42	0.03
3d-cube.js	0.60	0.57	0.02
3d-morph.js	1.19	1.19	0.00
3d-raytrace.js	0.66	0.56	0.09
access-binary-trees.js	0.75	0.58	0.16
access-fannkuch.js	1.47	1.42	0.04
access-nbody.js	0.34	0.32	0.02
access-nsieve.js	3.81	3.80	0.01
bitops-3bit-bits-in-byte.js	0.94	0.84	0.09
bitops-bits-in-byte.js	0.94	0.87	0.07
bitops-bitwise-and.js	0.29	0.29	0.00
bitops-nsieve-bits.js	0.85	0.82	0.02
controlflow-recursive.js	1.70	0.97	0.73
crypto-aes.js	0.62	0.59	0.03
crypto-md5.js	0.91	0.80	0.10
crypto-sha1.js	0.84	0.70	0.13
date-format-tofte.js	0.44	0.39	0.04
math-cordic.js	0.95	0.89	0.06
date-format-xparb.js	0.29	0.26	0.03
math-partial-sums.js	0.17	0.17	0.00
math-spectral-norm.js	0.90	0.73	0.16
regexp-dna.js	0.45	0.45	0.00
string-base64.js	5.82	5.22	0.60
string-fasta.js	0.79	0.67	0.11
string-tagcloud.js	0.09	0.09	0.00
string-unpack-code.js	1.01	0.86	0.14
string-validate-input.js	0.46	0.36	0.09
3d-cube.js	0.60	0.55	0.04
3d-morph.js	1.19	1.18	0.00
3d-raytrace.js	0.66	0.58	0.07
access-binary-trees.js	0.71	0.47	0.23
access-fannkuch.js	1.47	1.40	0.07
access-nbody.js	0.34	0.34	0.00
access-nsieve.js	3.81	3.75	0.05
bitops-3bit-bits-in-byte.js	0.93	0.81	0.12
bitops-bits-in-byte.js	0.95	0.85	0.10
bitops-bitwise-and.js	0.29	0.29	0.00
bitops-nsieve-bits.js	0.85	0.82	0.02
controlflow-recursive.js	1.33	1.00	0.32
crypto-aes.js	0.63	0.59	0.03
crypto-md5.js	0.86	0.70	0.16
crypto-sha1.js	0.82	0.67	0.15
date-format-tofte.js	0.44	0.37	0.06
math-cordic.js	0.95	0.86	0.08
date-format-xparb.js	0.30	0.26	0.03
math-partial-sums.js	0.17	0.17	0.00
math-spectral-norm.js	0.90	0.78	0.11
regexp-dna.js	0.45	0.45	0.00
string-base64.js	5.69	5.01	0.68
string-fasta.js	0.80	0.68	0.11
